x   y   class
 1.00000	 0.00000	0.0
-1.00000	-0.00000	1.0
 0.99885	 0.01961	0.0
-0.99885	-0.01961	1.0
 0.99731	 0.03918	0.0
-0.99731	-0.03918	1.0
 0.99539	 0.05870	0.0
-0.99539	-0.05870	1.0
 0.99308	 0.07816	0.0
-0.99308	-0.07816	1.0
 0.99040	 0.09755	0.0
-0.99040	-0.09755	1.0
 0.98734	 0.11686	0.0
-0.98734	-0.11686	1.0
 0.98390	 0.13609	0.0
-0.98390	-0.13609	1.0
 0.98009	 0.15523	0.0
-0.98009	-0.15523	1.0
 0.97591	 0.17427	0.0
-0.97591	-0.17427	1.0
 0.97135	 0.19321	0.0
-0.97135	-0.19321	1.0
 0.96643	 0.21204	0.0
-0.96643	-0.21204	1.0
 0.96115	 0.23075	0.0
-0.96115	-0.23075	1.0
 0.95550	 0.24934	0.0
-0.95550	-0.24934	1.0
 0.94950	 0.26779	0.0
-0.94950	-0.26779	1.0
 0.94314	 0.28610	0.0
-0.94314	-0.28610	1.0
 0.93642	 0.30426	0.0
-0.93642	-0.30426	1.0
 0.92936	 0.32227	0.0
-0.92936	-0.32227	1.0
 0.92195	 0.34013	0.0
-0.92195	-0.34013	1.0
 0.91420	 0.35781	0.0
-0.91420	-0.35781	1.0
 0.90611	 0.37532	0.0
-0.90611	-0.37532	1.0
 0.89769	 0.39266	0.0
-0.89769	-0.39266	1.0
 0.88893	 0.40980	0.0
-0.88893	-0.40980	1.0
 0.87985	 0.42676	0.0
-0.87985	-0.42676	1.0
 0.87044	 0.44351	0.0
-0.87044	-0.44351	1.0
 0.86072	 0.46007	0.0
-0.86072	-0.46007	1.0
 0.85068	 0.47641	0.0
-0.85068	-0.47641	1.0
 0.84034	 0.49253	0.0
-0.84034	-0.49253	1.0
 0.82968	 0.50843	0.0
-0.82968	-0.50843	1.0
 0.81873	 0.52410	0.0
-0.81873	-0.52410	1.0
 0.80748	 0.53954	0.0
-0.80748	-0.53954	1.0
 0.79595	 0.55474	0.0
-0.79595	-0.55474	1.0
 0.78412	 0.56970	0.0
-0.78412	-0.56970	1.0
 0.77202	 0.58440	0.0
-0.77202	-0.58440	1.0
 0.75964	 0.59885	0.0
-0.75964	-0.59885	1.0
 0.74700	 0.61304	0.0
-0.74700	-0.61304	1.0
 0.73408	 0.62697	0.0
-0.73408	-0.62697	1.0
 0.72091	 0.64062	0.0
-0.72091	-0.64062	1.0
 0.70749	 0.65400	0.0
-0.70749	-0.65400	1.0
 0.69382	 0.66710	0.0
-0.69382	-0.66710	1.0
 0.67991	 0.67991	0.0
-0.67991	-0.67991	1.0
 0.66576	 0.69244	0.0
-0.66576	-0.69244	1.0
 0.65139	 0.70467	0.0
-0.65139	-0.70467	1.0
 0.63679	 0.71660	0.0
-0.63679	-0.71660	1.0
 0.62197	 0.72823	0.0
-0.62197	-0.72823	1.0
 0.60694	 0.73956	0.0
-0.60694	-0.73956	1.0
 0.59171	 0.75058	0.0
